skor,keterangan,waktu
5,sangat memuaskan,13:36:17
4,sangat memuaskan,13:45:22
2,kurang memuaskan,13:55:32
1,kurang memuaskan,13:55:32
4,sangat memuaskan,13:55:32
1,kurang memuaskan,13:55:32
3,memuaskan,13:55:32
4,sangat memuaskan,13:55:32
2,kurang memuaskan,13:55:32
1,kurang memuaskan,13:55:32
2,kurang memuaskan,13:55:32
4,sangat memuaskan,13:55:32
3,memuaskan,13:58:44
4,sangat memuaskan,14:07:01
3,memuaskan,14:08:26
5,sangat memuaskan,14:08:51
4,sangat memuaskan,18:16:22
3,memuaskan,14:55:43
2,kurang memuaskan,14:56:33
5,sangat memuaskan,15:19:38
3,memuaskan,15:24:51
5,sangat memuaskan,15:25:29
2,kurang memuaskan,15:29:05
4,sangat memuaskan,15:31:17
5,sangat memuaskan,15:36:50
3,memuaskan,15:43:25
5,sangat memuaskan,15:29:50
